date,open,high,low,close,adj_close,volume
2019-02-11,11300.0,11300.0,10765.4501953125,10843.5,10309.8544921875,122841
2019-02-12,10835.0,10850.0,10615.7001953125,10783.7998046875,10253.0927734375,97576
2019-02-14,10541.0,10778.9501953125,10310.0,10628.7998046875,10105.7216796875,124563
2019-02-15,10450.0,10740.150390625,10251.0,10535.4501953125,10016.9658203125,414813
2019-02-18,10549.0,10579.9501953125,10176.25,10349.4501953125,9840.1220703125,87235
2019-02-19,10350.0498046875,10729.0498046875,10350.0498046875,10515.400390625,9997.904296875,88601
2019-02-20,10531.5,10638.849609375,10399.25,10521.7998046875,10003.9873046875,62379
2019-02-21,10500.0,10671.4501953125,10450.0,10621.9501953125,10099.2080078125,70280
2019-02-22,10639.900390625,10709.0,10561.650390625,10685.4501953125,10159.583984375,55283
2019-02-25,10739.0,10870.0,10680.0,10831.650390625,10298.5908203125,42086
2019-02-26,10799.0,10855.0,10666.5,10804.400390625,10272.6806640625,72467
2019-02-27,10804.400390625,10820.650390625,10651.7998046875,10713.7001953125,10186.4423828125,85713
2019-02-28,10750.0,10763.4501953125,10555.099609375,10639.75,10116.1328125,111875
2019-03-01,10640.0,10675.0,10406.0498046875,10451.7998046875,9937.4326171875,109782
2019-03-05,10281.4501953125,10566.650390625,10281.4501953125,10505.9501953125,9988.91796875,81658
2019-03-06,10593.0,10593.0,10195.0,10320.75,9812.83203125,145434
2019-03-07,10340.0,10352.599609375,10165.099609375,10203.349609375,9701.2099609375,78052
2019-03-08,10219.9501953125,10220.0,10035.0,10095.150390625,9598.333984375,98498
2019-03-11,10099.349609375,10329.0,10031.650390625,10292.7998046875,9786.2568359375,114136
2019-03-12,10298.900390625,10511.9501953125,10260.0498046875,10428.900390625,9915.66015625,83043
2019-03-13,10528.0,10754.9501953125,10500.400390625,10723.2998046875,10195.572265625,133760
2019-03-14,10758.0,10770.0,10540.0,10739.2998046875,10210.783203125,55804
2019-03-15,10701.2998046875,10762.0498046875,10230.0498046875,10289.900390625,9783.501953125,183452
2019-03-18,10375.0,10495.400390625,10271.2001953125,10456.599609375,9941.99609375,61262
2019-03-19,10456.599609375,10755.0,10409.849609375,10707.0,10180.0751953125,82821
2019-03-20,10729.900390625,10749.9501953125,10463.5,10530.150390625,10011.9267578125,59630
2019-03-22,10593.0,10649.0,10527.25,10600.650390625,10078.9599609375,85656
2019-03-25,10515.0498046875,10549.900390625,10303.0,10528.2998046875,10010.1689453125,109785
2019-03-26,10565.2001953125,10790.25,10515.9501953125,10691.900390625,10165.7177734375,150685
2019-03-27,10690.9501953125,11049.0,10576.75,10892.0,10355.9677734375,139605
2019-03-28,10938.900390625,11130.0,10801.0,11073.099609375,10528.1572265625,91828
2019-04-01,10980.0,11121.0,10861.099609375,10915.150390625,10377.9794921875,81431
2019-04-02,10979.7001953125,10979.7001953125,10700.0,10786.7998046875,10255.9453125,59609
2019-04-03,10947.0,11067.0,10780.0,11003.75,10462.21875,74692
2019-04-04,11059.0,11059.0,10850.0,10961.849609375,10422.3818359375,40177
2019-04-05,10935.0498046875,11091.0,10900.0,10980.75,10440.3515625,26013
2019-04-08,10999.0,11050.0,10804.5,10850.599609375,10316.6044921875,37049
2019-04-09,10889.0,10889.0,10740.0,10790.0498046875,10259.0361328125,75730
2019-04-10,10792.5,10850.0,10730.0,10811.9501953125,10279.859375,48089
2019-04-11,10795.0,10899.0,10690.0,10764.099609375,10234.3623046875,93902
2019-04-12,10767.900390625,11000.0,10764.2998046875,10973.7998046875,10433.7421875,49737
2019-04-15,11000.0,11089.0,10891.0498046875,10970.099609375,10430.2255859375,84735
2019-04-16,11000.0,11218.9501953125,10995.0,11155.7998046875,10606.787109375,89355
2019-04-18,11186.400390625,11239.9501953125,10925.0,10954.4501953125,10415.3447265625,56399
2019-04-22,10965.0,11125.0,10851.5498046875,10879.900390625,10344.4658203125,31883
2019-04-23,10940.0,10979.0,10872.0,10910.2001953125,10373.2734375,25119
2019-04-24,10907.5,11029.5498046875,10705.0,10833.400390625,10300.2548828125,76358
2019-04-25,10890.0,10990.0,10780.0,10846.4501953125,10312.6591796875,90249
2019-04-26,10851.0,11049.2001953125,10822.0498046875,10971.25,10431.318359375,51412
2019-04-30,10900.0,10974.9501953125,10854.7001953125,10905.2998046875,10392.2939453125,74238
2019-05-02,10905.0,10905.0,10403.0498046875,10589.7001953125,10114.7294921875,44249
2019-05-03,10650.0,10650.0,10380.0,10485.7001953125,10015.39453125,115448
2019-05-06,10400.0,10497.099609375,10305.0498046875,10364.0,9920.9140625,90136
2019-05-07,10401.5,10589.9501953125,10401.0,10477.099609375,10029.1767578125,72631
2019-05-08,10487.75,10536.0,10275.7001953125,10298.349609375,9858.0693359375,46391
2019-05-09,10295.0,10409.0,10200.0,10362.2001953125,9919.1904296875,46552
2019-05-10,10371.900390625,10435.650390625,10171.0498046875,10231.150390625,9793.7421875,61273
2019-05-13,10262.0,10433.25,10232.25,10300.0498046875,9859.6982421875,48042
2019-05-14,10310.0,10364.400390625,10120.0498046875,10198.650390625,9762.6328125,54275
2019-05-15,10401.0,10509.0,10211.0,10268.5498046875,9829.5439453125,127190
2019-05-16,10332.7001953125,10401.0,10255.0498046875,10280.5498046875,9841.0322265625,39322
2019-05-17,10299.9501953125,10546.2001953125,10256.849609375,10465.650390625,10018.21875,65704
2019-05-20,10680.0,10832.0,10560.349609375,10768.150390625,10307.78515625,49555
2019-05-21,10849.9501953125,10884.7001953125,10493.9501953125,10609.2001953125,10155.6298828125,47182
2019-05-22,10650.0498046875,10784.2001953125,10600.0,10700.5498046875,10243.0751953125,31497
2019-05-23,10848.0,10989.0,10680.0,10797.0498046875,10335.44921875,56257
2019-05-24,10813.0,10849.900390625,10592.2998046875,10660.0498046875,10204.3056640625,49465
2019-05-27,10750.0,11083.0,10700.0,11036.25,10564.4208984375,84400
2019-05-28,11040.0,11165.0,10950.0,11105.2001953125,10630.4248046875,133445
2019-05-29,11125.0,11295.9501953125,10987.4501953125,11206.0,10726.9150390625,128654
2019-05-30,11175.25,11345.0,11170.0,11320.5,10836.5205078125,93421
2019-05-31,11350.0,11540.0,11303.4501953125,11498.099609375,11006.52734375,70172
2019-06-03,11498.599609375,11700.0,11498.599609375,11686.4501953125,11186.8251953125,64302
2019-06-04,11600.0,11698.0,11428.0,11552.349609375,11058.4580078125,96144
2019-06-06,11552.349609375,11684.0,11530.0,11603.2998046875,11107.2294921875,82658
2019-06-07,11610.0,11628.0,11451.0,11503.849609375,11012.0302734375,43726
2019-06-10,11607.099609375,11729.0,11376.0,11698.400390625,11198.2646484375,48341
2019-06-11,11755.0,11817.7001953125,11498.099609375,11622.9501953125,11126.0400390625,72286
2019-06-12,11674.0,11715.0,11505.0,11695.5,11195.4892578125,43374
2019-06-13,11620.0,11661.5498046875,11570.0498046875,11613.75,11117.2333984375,69156
2019-06-14,11615.5,11723.650390625,11451.0,11489.0,10997.8154296875,40564
2019-06-17,11559.0,11629.650390625,11425.650390625,11480.849609375,10990.013671875,45786
2019-06-18,11505.0498046875,11551.9501953125,11300.0,11457.599609375,10967.7587890625,55529
2019-06-19,11478.900390625,11650.5,11450.0,11611.7001953125,11115.2724609375,69510
2019-06-20,11613.0498046875,11759.0,11474.2001953125,11718.0498046875,11217.0732421875,65396
2019-06-21,11710.0,11790.0,11539.150390625,11600.900390625,11104.9326171875,111980
2019-06-24,11600.0,11760.0,11550.150390625,11712.0,11211.2822265625,24222
2019-06-25,11680.0498046875,11737.25,11613.4501953125,11705.849609375,11205.3955078125,37748
2019-06-26,11706.0,11950.0,11680.7998046875,11802.5,11297.9150390625,143213
2019-06-27,11810.2998046875,11866.900390625,11684.4501953125,11802.849609375,11298.248046875,93927
2019-06-28,11762.0,11940.0,11755.0,11912.599609375,11403.306640625,57069
2019-07-01,11984.0,12023.25,11823.650390625,11868.75,11361.3310546875,40901
2019-07-02,11860.0,12004.9501953125,11801.0,11964.849609375,11453.3232421875,66647
2019-07-03,11964.0,11998.5498046875,11779.9501953125,11819.150390625,11313.8525390625,63152
2019-07-04,11810.0,11970.0,11799.9501953125,11884.4501953125,11376.361328125,23714
2019-07-05,11929.9501953125,12000.0,11840.0,11956.900390625,11445.712890625,35376
2019-07-08,11929.0,11929.0,11752.0,11801.4501953125,11296.908203125,45507
2019-07-09,11819.7998046875,11824.0,11630.0,11687.0498046875,11187.3984375,61843
2019-07-10,11715.0,11795.0,11530.0,11550.4501953125,11056.638671875,44237
2019-07-11,11624.0498046875,11624.0498046875,11471.5,11506.7998046875,11014.8544921875,46492
2019-07-12,11507.0,11718.0,11507.0,11672.150390625,11173.13671875,27605
2019-07-15,11689.0,11689.0,11465.599609375,11484.4501953125,10993.4619140625,19432
2019-07-16,11632.0,11741.9501953125,11487.099609375,11708.650390625,11208.076171875,42449
2019-07-17,11706.0,11749.7998046875,11602.5,11695.400390625,11195.392578125,24922
2019-07-18,11726.7998046875,11743.599609375,11542.5,11596.75,11100.9599609375,47394
2019-07-19,11649.900390625,11725.0,11512.2998046875,11547.0498046875,11053.384765625,86677
2019-07-22,11508.0498046875,11562.5498046875,11265.0,11304.7001953125,10821.3955078125,47464
2019-07-23,11305.0,11693.0,11305.0,11470.75,10980.34765625,61563
2019-07-24,11500.0,11619.75,11298.75,11479.900390625,10989.107421875,49740
2019-07-25,11509.0,11666.849609375,11440.0,11495.0,11003.5595703125,53885
2019-07-26,11525.0,11671.4501953125,11470.0,11623.25,11126.326171875,30544
2019-07-29,11600.0,11690.0,11479.25,11620.25,11123.4560546875,46052
2019-07-30,11673.849609375,11690.5498046875,11500.0,11536.5498046875,11043.333984375,34459
2019-07-31,11500.0498046875,11740.0,11401.0,11675.900390625,11176.7275390625,46971
2019-08-01,11664.0,11664.0,11445.0,11547.0,11053.337890625,34623
2019-08-02,11425.0,11536.150390625,11322.4501953125,11411.5,10923.6298828125,56548
2019-08-05,11528.0,11950.0,11490.0,11712.7998046875,11212.0478515625,122980
2019-08-06,11710.0,11998.0,11701.0498046875,11837.5498046875,11331.4638671875,85992
2019-08-07,11790.0,11909.650390625,11732.150390625,11777.4501953125,11273.9345703125,46996
2019-08-08,11800.0,11930.0,11775.0,11840.25,11334.0498046875,36614
2019-08-09,11780.0,12268.5,11700.0,11993.2998046875,11657.7822265625,116548
2019-08-13,11962.2001953125,12192.9501953125,11820.0498046875,11893.4501953125,11560.7265625,77413
2019-08-14,11893.4501953125,12159.0,11850.099609375,12036.5498046875,11699.822265625,58376
2019-08-16,12099.900390625,12107.900390625,11906.900390625,12004.400390625,11668.572265625,56885
2019-08-19,12090.0,12259.900390625,12040.0498046875,12066.599609375,11729.033203125,44883
2019-08-20,12114.0,12155.849609375,11916.7001953125,11969.7998046875,11634.9404296875,67952
2019-08-21,11970.0,12646.5,11970.0,12594.099609375,12241.7744140625,273006
2019-08-22,12640.0,12799.0,12405.25,12470.0,12121.146484375,100858
2019-08-23,12499.5,12547.599609375,12250.0,12438.650390625,12090.673828125,58571
